,title,URL,localization,surface,price,rent,num_of_rooms,building_material,heating,floor,num_of_floors,market,year,type_of_building,condition
72,Mieszkanie Osiedle Architektów B2.0.M112,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-architektow-b2-0-m112-ID4dzTs,"Rzeszów, Staroniwa, ul. Architektów","37,41 m²",314 244 zł,,2,,,parter,8,pierwotny,2023,blok,
73,"II etap inwestycji, dwustronne, 2pokoje mieszkanie",https://www.otodom.pl/pl/oferta/ii-etap-inwestycji-dwustronne-2pokoje-mieszkanie-ID4dzT8,"Rzeszów, Drabinianka, ul. kard. Karola Wojtyły","49,89 m²",309 000 zł,,2,pustak,gazowe,2,2,pierwotny,2022,blok,do wykończenia
74,Pierwsze Piętro z Ogrodem i Garażem Deweloperski,https://www.otodom.pl/pl/oferta/pierwsze-pietro-z-ogrodem-i-garazem-deweloperski-ID4dzSS,"Pańska, Rzeszów, podkarpackie","66,80 m²",472 000 zł,,4,pustak,inne,1,2,pierwotny,2022,apartamentowiec,do wykończenia
75,Mieszkanie 3 pokojowe Architektów,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-architektow-ID4du6G,"Rzeszów, podkarpackie",48 m²,425 000 zł,440 zł,3,cegła,miejskie,> 10,14,wtórny,2015,blok,do zamieszkania
76,Ustawne Mieszkanie Osiedle Architektów B2.6.M110,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-osiedle-architektow-b2-6-m110-ID4dzS8,"Rzeszów, Staroniwa, ul. Architektów","30,40 m²",279 680 zł,,2,,,6,8,pierwotny,2023,blok,
77,Mieszkanie Osiedle Architektów B2.6.M108,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-architektow-b2-6-m108-ID4dzRM,"Rzeszów, Staroniwa, ul. Architektów","42,71 m²",358 764 zł,,2,,,6,8,pierwotny,2023,blok,
78,Nowe Mieszkanie na Osiedlu Architektów B2.6.M107,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-b2-6-m107-ID4dzRI,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,6,,pierwotny,2023,blok,
79,Nowe Mieszkanie na Osiedlu Architektów B2.6.M106,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-b2-6-m106-ID4dzRB,"Rzeszów, Staroniwa, ul. Architektów","29,90 m²",275 080 zł,,1,,,6,,pierwotny,2023,blok,
80,Wygodne Mieszkanie Osiedle Architektów B2.6.M105,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-osiedle-architektow-b2-6-m105-ID4dzRv,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,6,,pierwotny,2023,blok,
81,Mieszkanie Osiedle Architektów B2.6.M104,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-architektow-b2-6-m104-ID4dzRo,"Rzeszów, Staroniwa, ul. Architektów","42,70 m²",358 680 zł,,2,,,6,8,pierwotny,2023,blok,
82,Ustawne Mieszkanie Osiedle Architektów B2.5.M102,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-osiedle-architektow-b2-5-m102-ID4dzQH,"Rzeszów, Staroniwa, ul. Architektów","30,40 m²",279 680 zł,,2,,,5,8,pierwotny,2023,blok,
83,Mieszkanie Osiedle Architektów B2.5.M100,https://www.otodom.pl/pl/oferta/mieszkanie-osiedle-architektow-b2-5-m100-ID4dzQD,"Rzeszów, Staroniwa, ul. Architektów","42,71 m²",358 764 zł,,2,,,5,8,pierwotny,2023,blok,
84,Nowe Mieszkanie na Osiedlu Architektów B2.5.M99,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-b2-5-m99-ID4dzPy,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,5,,pierwotny,2023,blok,
85,Nowe Mieszkanie na Osiedlu Architektów B2.5.M98,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-na-osiedlu-architektow-b2-5-m98-ID4dzP1,"Rzeszów, Staroniwa, ul. Architektów","29,90 m²",275 080 zł,,1,,,5,,pierwotny,2023,blok,
86,Wygodne Mieszkanie na Osiedlu Architektów B2.5.M97,https://www.otodom.pl/pl/oferta/wygodne-mieszkanie-na-osiedlu-architektow-b2-5-m97-ID4dzOY,"Rzeszów, Staroniwa, ul. Architektów","25,54 m²",234 968 zł,,1,,,5,,pierwotny,2023,blok,
87,5 piętro Garaż Brak Prowizji 3 pokoje + kuchnia,https://www.otodom.pl/pl/oferta/5-pietro-garaz-brak-prowizji-3-pokoje-kuchnia-ID4dzOS,"Krakowska, Rzeszów, podkarpackie","60,76 m²",407 092 zł,,3,pustak,inne,5,7,pierwotny,2022,blok,do wykończenia
88,Zachód Rzeszowa Stan Deweloprski 56m2 3 Piętro,https://www.otodom.pl/pl/oferta/zachod-rzeszowa-stan-deweloprski-56m2-3-pietro-ID4dzOP,"Krakowska, Rzeszów, podkarpackie","56,20 m²",393 400 zł,,3,pustak,inne,3,7,pierwotny,2022,blok,do wykończenia
89,Praktyczne Mieszkanie Osiedle Architektów B2.5.M96,https://www.otodom.pl/pl/oferta/praktyczne-mieszkanie-osiedle-architektow-b2-5-m96-ID4dzOq,"Rzeszów, Staroniwa, ul. Architektów","42,70 m²",358 680 zł,,2,,,5,8,pierwotny,2023,blok,
90,Ustawne Mieszkanie na Osiedlu Architektów B2.5.M95,https://www.otodom.pl/pl/oferta/ustawne-mieszkanie-na-osiedlu-architektow-b2-5-m95-ID4dzNH,"Rzeszów, Staroniwa, ul. Architektów","30,40 m²",279 680 zł,,2,,,5,8,pierwotny,2023,blok,
91,Przytulne Mieszkanie Osiedle Architektów B2.4.M94,https://www.otodom.pl/pl/oferta/przytulne-mieszkanie-osiedle-architektow-b2-4-m94-ID4dzNz,"Rzeszów, Staroniwa, ul. Architektów","30,40 m²",279 680 zł,,2,,,4,8,pierwotny,2023,blok,
